citypair,aircraft,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,quarter,year,revenue
BWI-ALB,Boeing 737-700/700LR/Max 7,257.0,265.0,29841.0,36751.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-ALB,Boeing 737-800,89.0,92.0,12444.0,15575.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-ATL,Boeing 737-300,176.0,187.0,18616.0,24568.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-ATL,Boeing 737-700/700LR/Max 7,343.0,357.0,36157.0,49049.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-AUS,Boeing 737-700/700LR/Max 7,133.0,136.0,13263.0,19019.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BDL,Boeing 737-300,105.0,113.0,12141.0,14733.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BDL,Boeing 737-700/700LR/Max 7,387.0,401.0,41764.0,55341.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BHM,Boeing 737-700/700LR/Max 7,52.0,54.0,4901.0,7436.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BNA,Boeing 737-300,124.0,131.0,10934.0,17450.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BNA,Boeing 737-700/700LR/Max 7,277.0,289.0,31009.0,39611.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BNA,Boeing 737-800,59.0,63.0,4974.0,10325.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BOS,Boeing 737-300,134.0,141.0,14213.0,19090.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BOS,Boeing 737-700/700LR/Max 7,355.0,367.0,41521.0,50765.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BOS,Boeing 737-800,181.0,192.0,21848.0,31675.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BUF,Boeing 737-300,52.0,53.0,5574.0,7298.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BUF,Boeing 737-700/700LR/Max 7,218.0,230.0,18886.0,31174.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-BUF,Boeing 737-800,133.0,142.0,15570.0,23275.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-CHS,Boeing 737-700/700LR/Max 7,217.0,226.0,23100.0,31031.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-CLE,Boeing 737-300,75.0,78.0,8347.0,10479.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-CLE,Boeing 737-700/700LR/Max 7,196.0,206.0,18923.0,28028.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-CLT,Boeing 737-300,64.0,66.0,7421.0,9116.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-CLT,Boeing 737-700/700LR/Max 7,98.0,104.0,10331.0,14014.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
